Brand,Model,Transmission,Fuel type,Year of Manufacture,Median_Price
Hyundai,Sonata,Automatic,Petrol,2009,2350005.45
Hyundai,Sonata,Automatic,Petrol,2010,2350005.45
Hyundai,Sonata,Automatic,Petrol,2011,2350005.45
Hyundai,Sonata,Automatic,Petrol,2012,2350005.45
Hyundai,Sonata,Automatic,Petrol,2013,2350005.45
Hyundai,Sonata,Automatic,Petrol,2014,2350005.45
Hyundai,Sonata,Automatic,Petrol,2015,2000014.74
Hyundai,Sonata,Automatic,Petrol,2016,2000014.74
Hyundai,Sonata,Automatic,Petrol,2017,2000014.74
Hyundai,Sonata,Automatic,Petrol,2018,2000014.74
Hyundai,Sonata,Automatic,Petrol,2019,2000014.74
Hyundai,Sonata,Automatic,Petrol,2020,2000014.74
Hyundai,Sonata,Automatic,Petrol,2021,2000014.74
Hyundai,Sonata,Automatic,Petrol,2022,2000014.74
Hyundai,Sonata,Automatic,Petrol,2023,2000014.74
Hyundai,Sonata,Automatic,Petrol,2024,2000000.0
Hyundai,Tucson,Automatic,Diesel,2011,8675000.0
Hyundai,Tucson,Automatic,Diesel,2012,8625000.0
Hyundai,Tucson,Automatic,Diesel,2013,10999958.39
Kia,Picanto,Automatic,Petrol,2005,3600000.0
Kia,Picanto,Automatic,Petrol,2006,3600043.3
Kia,Picanto,Automatic,Petrol,2007,3600043.3
Kia,Picanto,Automatic,Petrol,2008,3600043.3
Kia,Picanto,Automatic,Petrol,2009,3600043.3
Kia,Picanto,Automatic,Petrol,2010,3600043.3
Kia,Picanto,Automatic,Petrol,2011,5799984.86
Kia,Picanto,Automatic,Petrol,2012,5799984.86
Kia,Picanto,Automatic,Petrol,2013,5799984.86
Kia,Picanto,Automatic,Petrol,2014,5799984.86
Kia,Picanto,Automatic,Petrol,2015,5799984.86
Kia,Picanto,Automatic,Petrol,2016,5799984.86
Kia,Picanto,Automatic,Petrol,2017,5799984.86
Kia,Picanto,Automatic,Petrol,2018,6289971.84
Kia,Rio,Manual,Petrol,2001,2325000.0
Kia,Rio,Manual,Petrol,2002,2145000.0
Kia,Rio,Manual,Petrol,2003,2145013.97
Kia,Rio,Manual,Petrol,2004,3359981.7
Kia,Rio,Manual,Petrol,2005,2853995.14
Kia,Sorento,Automatic,Diesel,2008,6700000.0
Kia,Sorento,Automatic,Diesel,2009,6700326.32
Kia,Sorento,Automatic,Diesel,2010,12875230.15
Kia,Sorento,Automatic,Diesel,2011,12875000.0
Kia,Sorento,Automatic,Diesel,2012,14000000.0
Kia,Sorento,Automatic,Diesel,2013,17499765.33
Kia,Sorento,Automatic,Diesel,2014,16000000.0
Kia,Sorento,Automatic,Diesel,2015,24899776.05
Kia,Sorento,Automatic,Diesel,2016,24899776.05
Kia,Sorento,Automatic,Diesel,2017,32999597.69
Kia,Sorento,Automatic,Diesel,2018,32999597.69
Kia,Sorento,Tiptronic,Diesel,2012,13500000.0
Kia,Sorento,Tiptronic,Diesel,2013,17500000.0
Kia,Sorento,Tiptronic,Diesel,2014,17200000.0
Kia,Sorento,Tiptronic,Diesel,2015,17200115.28
Kia,Sorento,Tiptronic,Diesel,2016,29499788.57
Kia,Sorento,Tiptronic,Diesel,2017,29999775.29
Kia,Sportage,Automatic,Diesel,2007,6750000.0
Kia,Sportage,Automatic,Diesel,2008,6750091.64
Kia,Sportage,Automatic,Diesel,2009,6750091.64
Kia,Sportage,Automatic,Diesel,2010,11749958.83
Kia,Sportage,Automatic,Diesel,2011,11749958.83
Kia,Sportage,Automatic,Diesel,2012,11749958.83
Kia,Sportage,Automatic,Diesel,2013,11749958.83
Kia,Sportage,Automatic,Diesel,2014,12099949.53
Kia,Sportage,Automatic,Diesel,2015,12099949.53
Kia,Sportage,Automatic,Petrol,2000,2950000.0
Kia,Sportage,Automatic,Petrol,2001,2950174.91
Kia,Sportage,Automatic,Petrol,2002,2950174.91
Kia,Sportage,Automatic,Petrol,2003,2950174.91
Kia,Sportage,Automatic,Petrol,2004,2950174.91
Kia,Sportage,Automatic,Petrol,2005,2950174.91
Kia,Sportage,Automatic,Petrol,2006,10289979.95
Kia,Sportage,Automatic,Petrol,2007,10289979.95
Kia,Sportage,Automatic,Petrol,2008,10289979.95
Kia,Sportage,Automatic,Petrol,2009,10289979.95
Kia,Sportage,Automatic,Petrol,2010,10289979.95
Kia,Sportage,Automatic,Petrol,2011,10289979.95
Kia,Sportage,Automatic,Petrol,2012,9999987.65
Kia,Sportage,Automatic,Petrol,2013,9999987.65
Kia,Sportage,Automatic,Petrol,2014,9999987.65
Kia,Sportage,Automatic,Petrol,2015,14899857.5
Kia,Sportage,Automatic,Petrol,2016,14899857.5
Mahindra,KUV 100,Manual,Petrol,2020,5250000.0
Mahindra,KUV 100,Manual,Petrol,2021,5747500.0
Mahindra,KUV 100,Manual,Petrol,2022,6274986.25
Mazda,6,Automatic,Petrol,2013,12960000.0
Mazda,6,Automatic,Petrol,2014,15999971.18
Mazda,6,Automatic,Petrol,2015,15499984.46
Mazda,6,Automatic,Petrol,2016,15199992.43
